"Date","Price","Open","High","Low","Vol.","Change %"
"01/02/2023","63.75","63.00","64.65","62.80","50.23M","2.57%"
"12/30/2022","62.15","59.40","63.30","59.35","179.05M","5.70%"
"12/29/2022","58.80","58.40","59.60","57.90","63.54M","0.68%"
"12/28/2022","58.40","58.00","58.75","56.15","92.32M","0.78%"
"12/27/2022","57.95","59.25","59.65","57.75","62.77M","-2.11%"
"12/26/2022","59.20","58.80","60.15","58.60","78.15M","2.07%"
"12/23/2022","58.00","58.25","59.25","57.65","51.95M","-0.17%"
"12/22/2022","58.10","59.55","60.05","57.60","66.30M","-1.94%"
"12/21/2022","59.25","61.20","61.65","58.85","100.70M","-2.87%"
"12/20/2022","61.00","59.45","62.25","58.90","149.19M","2.61%"
"12/19/2022","59.45","58.50","60.60","58.35","90.11M","2.68%"
"12/16/2022","57.90","58.60","59.25","57.40","73.75M","-0.69%"
"12/15/2022","58.30","58.50","60.00","56.05","136.39M","3.37%"
"12/14/2022","56.40","59.35","61.40","56.40","147.22M","-4.97%"
"12/13/2022","59.35","60.00","62.05","58.50","137.04M","0.85%"
"12/12/2022","58.85","54.10","58.85","53.85","134.69M","10.00%"
"12/09/2022","53.50","51.70","54.80","51.30","126.86M","3.68%"
"12/08/2022","51.60","49.46","51.60","48.66","117.53M","4.50%"
"12/07/2022","49.38","50.60","52.15","48.22","140.80M","0.69%"
"12/06/2022","49.04","49.80","51.00","48.66","86.63M","-1.49%"
"12/05/2022","49.78","47.40","50.40","46.60","126.35M","5.82%"
"12/02/2022","47.04","47.86","49.68","45.94","140.79M","-1.47%"
"12/01/2022","47.74","49.08","49.26","47.46","87.79M","-1.61%"
"11/30/2022","48.52","46.76","49.08","46.52","118.65M","3.76%"
"11/29/2022","46.76","47.22","47.48","46.20","79.03M","-0.55%"
"11/28/2022","47.02","48.52","49.14","46.88","105.73M","-2.45%"
"11/25/2022","48.20","45.90","48.30","45.62","135.44M","5.01%"
"11/24/2022","45.90","44.06","47.54","43.82","163.43M","4.37%"
"11/23/2022","43.98","42.74","44.44","41.58","116.43M","3.24%"
"11/22/2022","42.60","41.80","42.84","41.42","115.23M","2.45%"
"11/21/2022","41.58","40.04","41.58","39.92","120.23M","4.68%"
"11/18/2022","39.72","40.52","41.14","39.36","79.35M","-1.00%"
"11/17/2022","40.12","40.06","41.78","38.06","161.23M","0.70%"
"11/16/2022","39.84","41.40","41.70","39.44","90.05M","-2.68%"
"11/15/2022","40.94","41.99","43.29","40.52","138.00M","-1.34%"
"11/14/2022","41.50","38.73","42.33","38.63","170.63M","7.31%"
"11/11/2022","38.67","38.33","40.30","38.21","156.16M","2.16%"
"11/10/2022","37.85","37.55","38.49","36.94","121.18M","0.79%"
"11/09/2022","37.55","36.02","38.59","35.88","209.90M","4.31%"
"11/08/2022","36.00","35.64","37.02","35.13","167.11M","1.46%"
"11/07/2022","35.49","35.25","36.40","35.09","132.42M","1.54%"
"11/04/2022","34.95","34.49","35.31","34.23","110.78M","1.80%"
"11/03/2022","34.33","35.74","35.98","34.21","133.57M","-3.85%"
"11/02/2022","35.70","33.26","36.24","33.08","232.29M","7.62%"
"11/01/2022","33.18","32.16","33.55","32.10","112.41M","3.48%"
"10/31/2022","32.06","31.72","32.30","31.54","51.75M","1.32%"
"10/28/2022","31.64","31.84","32.10","31.64","18.02M","-1.73%"
"10/27/2022","32.20","33.20","33.24","32.08","64.31M","-2.59%"
"10/26/2022","33.06","31.98","33.06","31.92","102.36M","4.14%"
"10/25/2022","31.74","31.86","32.40","31.52","88.81M","0.06%"
"10/24/2022","31.72","31.80","32.28","31.62","60.64M","0.13%"
"10/21/2022","31.68","32.34","32.42","31.68","59.95M","-2.09%"
"10/20/2022","32.36","32.86","33.06","32.06","95.35M","-0.73%"
"10/19/2022","32.60","33.53","34.09","32.60","84.73M","-2.15%"
"10/18/2022","33.32","32.86","33.81","32.46","124.50M","2.39%"
"10/17/2022","32.54","31.19","32.98","31.01","134.82M","5.01%"
"10/14/2022","30.99","31.35","31.52","30.91","51.80M","0.19%"
"10/13/2022","30.93","31.50","31.68","30.75","66.72M","-1.71%"
"10/12/2022","31.46","32.84","33.08","31.33","95.06M","-1.98%"
"10/11/2022","32.10","32.70","32.70","32.00","77.14M","-1.59%"
"10/10/2022","32.62","31.64","32.64","31.64","104.90M","4.13%"
"10/07/2022","31.33","31.39","32.12","31.21","96.87M","0.13%"
"10/06/2022","31.29","31.07","31.78","30.97","64.84M","1.55%"
"10/05/2022","30.81","31.45","31.62","30.49","66.27M","-1.15%"
"10/04/2022","31.17","31.90","32.46","31.01","88.29M","-1.76%"
"10/03/2022","31.72","29.38","31.82","29.38","93.87M","8.81%"
"09/30/2022","29.16","29.85","29.93","28.90","64.10M","-2.01%"
